0inux 5.15.0-25-generic (ArielK) 	07/29/2023 	_x86_64_	(4 CPU)

03:06:04 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:06:04 PM  1000      1731    0.06    0.08    0.00    0.01    0.14     3  pulseaudio
03:06:04 PM  1000      1735    0.00    0.00    0.00    0.00    0.00     1  dbus-daemon
03:06:04 PM  1000      1737    0.00    0.00    0.00    0.00    0.00     0  gvfsd
03:06:04 PM  1000      1742    0.00    0.00    0.00    0.00    0.00     2  gvfsd-fuse
03:06:04 PM  1000      1753    0.00    0.00    0.00    0.00    0.00     3  gnome-keyring-d
03:06:04 PM  1000      1758    0.00    0.00    0.00    0.00    0.00     3  tracker-miner-f
03:06:04 PM  1000      1766    0.00    0.00    0.00    0.00    0.00     0  gdm-x-session
03:06:04 PM  1000      1768    0.18    0.17    0.00    0.10    0.35     2  Xorg
03:06:04 PM  1000      1785    0.00    0.00    0.00    0.00    0.01     1  gvfs-udisks2-vo
03:06:04 PM  1000      1790    0.00    0.00    0.00    0.00    0.00     0  gvfs-afc-volume
03:06:04 PM  1000      1795    0.00    0.00    0.00    0.00    0.00     0  gvfs-gphoto2-vo
03:06:04 PM  1000      1799    0.00    0.00    0.00    0.00    0.00     1  gvfs-mtp-volume
03:06:04 PM  1000      1803    0.00    0.00    0.00    0.00    0.00     1  gvfs-goa-volume
03:06:04 PM  1000      1807    0.00    0.00    0.00    0.00    0.00     0  goa-daemon
03:06:04 PM  1000      1814    0.00    0.00    0.00    0.00    0.00     2  goa-identity-se
03:06:04 PM  1000      1824    0.00    0.00    0.00    0.00    0.00     0  gnome-session-b
03:06:04 PM  1000      1909    0.00    0.00    0.00    0.00    0.00     2  at-spi-bus-laun
03:06:04 PM  1000      1915    0.00    0.00    0.00    0.00    0.00     0  dbus-daemon
03:06:04 PM  1000      1922    0.00    0.00    0.00    0.00    0.00     3  gnome-remote-de
03:06:04 PM  1000      1935    0.00    0.00    0.00    0.00    0.00     3  gnome-session-b
03:06:04 PM  1000      1959    0.63    0.20    0.00    0.13    0.83     1  gnome-shell
03:06:04 PM  1000      1979    0.00    0.00    0.00    0.00    0.00     3  gnome-shell-cal
03:06:04 PM  1000      1983    0.00    0.00    0.00    0.00    0.00     3  xdg-permission-
03:06:04 PM  1000      1987    0.00    0.00    0.00    0.00    0.00     3  dconf-service
03:06:04 PM  1000      1995    0.00    0.00    0.00    0.00    0.00     2  evolution-sourc
03:06:04 PM  1000      2002    0.00    0.00    0.00    0.00    0.00     3  gvfsd-trash
03:06:04 PM  1000      2011    0.00    0.00    0.00    0.00    0.00     3  evolution-calen
03:06:04 PM  1000      2017    0.00    0.00    0.00    0.00    0.00     3  gjs
03:06:04 PM  1000      2019    0.00    0.00    0.00    0.00    0.00     2  at-spi2-registr
03:06:04 PM  1000      2034    0.00    0.00    0.00    0.00    0.00     3  gsd-a11y-settin
03:06:04 PM  1000      2035    0.00    0.00    0.00    0.00    0.00     1  gsd-color
03:06:04 PM  1000      2037    0.01    0.00    0.00    0.00    0.01     3  ibus-daemon
03:06:04 PM  1000      2039    0.00    0.00    0.00    0.00    0.00     3  gsd-datetime
03:06:04 PM  1000      2040    0.00    0.00    0.00    0.00    0.01     1  gsd-housekeepin
03:06:04 PM  1000      2042    0.00    0.00    0.00    0.00    0.00     3  gsd-keyboard
03:06:04 PM  1000      2043    0.00    0.00    0.00    0.00    0.00     0  gsd-media-keys
03:06:04 PM  1000      2044    0.00    0.00    0.00    0.00    0.00     0  gsd-power
03:06:04 PM  1000      2045    0.00    0.00    0.00    0.00    0.00     1  gsd-print-notif
03:06:04 PM  1000      2046    0.00    0.00    0.00    0.00    0.00     1  gsd-rfkill
03:06:04 PM  1000      2049    0.00    0.00    0.00    0.00    0.00     2  gsd-screensaver
03:06:04 PM  1000      2051    0.01    0.00    0.00    0.00    0.01     0  gsd-sharing
03:06:04 PM  1000      2052    0.00    0.00    0.00    0.00    0.00     1  gsd-smartcard
03:06:04 PM  1000      2053    0.00    0.00    0.00    0.00    0.00     1  gsd-sound
03:06:04 PM  1000      2054    0.00    0.00    0.00    0.00    0.00     1  gsd-wacom
03:06:04 PM  1000      2055    0.00    0.00    0.00    0.00    0.00     3  gsd-xsettings
03:06:04 PM  1000      2084    0.00    0.00    0.00    0.00    0.00     0  evolution-alarm
03:06:04 PM  1000      2133    0.00    0.00    0.00    0.00    0.00     1  gsd-printer
03:06:04 PM  1000      2168    0.00    0.00    0.00    0.00    0.00     2  gjs
03:06:04 PM  1000      2185    0.21    0.09    0.00    0.00    0.30     0  kited
03:06:04 PM  1000      2219    0.00    0.00    0.00    0.00    0.00     1  ibus-memconf
03:06:04 PM  1000      2220    0.00    0.00    0.00    0.00    0.00     0  ibus-extension-
03:06:04 PM  1000      2224    0.00    0.00    0.00    0.00    0.00     1  ibus-x11
03:06:04 PM  1000      2227    0.00    0.00    0.00    0.00    0.00     1  ibus-portal
03:06:04 PM  1000      2244    0.00    0.00    0.00    0.00    0.00     3  ibus-engine-sim
03:06:04 PM  1000      2255    0.00    0.00    0.00    0.00    0.00     3  xdg-desktop-por
03:06:04 PM  1000      2261    0.00    0.00    0.00    0.00    0.01     3  snap-store
03:06:04 PM  1000      2316    0.00    0.00    0.00    0.00    0.00     3  evolution-addre
03:06:04 PM  1000      2317    0.00    0.00    0.00    0.00    0.00     1  xdg-document-po
03:06:04 PM  1000      2330    0.00    0.00    0.00    0.00    0.00     0  xdg-desktop-por
03:06:04 PM  1000      2881    0.00    0.00    0.00    0.00    0.00     0  gvfsd-metadata
03:06:04 PM  1000      2888    0.00    0.00    0.00    0.00    0.00     0  update-notifier
03:06:04 PM  1000      3473    0.00    0.00    0.00    0.00    0.00     2  glib-pacrunner
03:06:04 PM  1000      3913    0.00    0.00    0.00    0.00    0.00     3  gnome-calendar
03:06:04 PM  1000      3916    0.00    0.00    0.00    0.00    0.00     0  seahorse
03:06:04 PM  1000      4660    0.00    0.00    0.00    0.00    0.00     2  gvfsd-http
03:06:04 PM  1000     37597    0.00    0.00    0.00    0.00    0.00     3  snap
03:06:04 PM  1000    194717    0.00    0.00    0.00    0.00    0.00     2  gvfsd-network
03:06:04 PM  1000    194775    0.00    0.00    0.00    0.00    0.00     3  gvfsd-dnssd
03:06:04 PM  1000    451210    0.00    0.00    0.00    0.00    0.00     3  obexd
03:06:04 PM  1000    771202    0.08    0.04    0.00    0.00    0.12     3  TabNine-deep-lo
03:06:04 PM  1000    830521    0.00    0.00    0.00    0.00    0.00     1  brave-browser-s
03:06:04 PM  1000    830527    0.00    0.00    0.00    0.00    0.00     1  cat
03:06:04 PM  1000    830528    0.06    0.02    0.00    0.01    0.09     2  brave
03:06:04 PM  1000    830530    0.00    0.00    0.00    0.00    0.00     1  chrome_crashpad
03:06:04 PM  1000    830538    0.00    0.00    0.00    0.00    0.00     0  brave
03:06:04 PM  1000    830539    0.00    0.00    0.00    0.00    0.00     3  brave
03:06:04 PM  1000    830541    0.00    0.00    0.00    0.00    0.00     2  brave
03:06:04 PM  1000    830564    0.16    0.05    0.00    0.02    0.21     1  brave
03:06:04 PM  1000    830565    0.03    0.01    0.00    0.00    0.04     3  brave
03:06:04 PM  1000    830576    0.00    0.00    0.00    0.00    0.00     1  brave
03:06:04 PM  1000    830583    0.00    0.00    0.00    0.00    0.00     1  brave
03:06:04 PM  1000    830598    0.00    0.00    0.00    0.00    0.00     1  brave
03:06:04 PM  1000    905298    0.00    0.00    0.00    0.00    0.01     3  brave
03:06:04 PM  1000    931688    0.02    0.00    0.00    0.00    0.02     2  code
03:06:04 PM  1000    931690    0.00    0.00    0.00    0.00    0.00     1  code
03:06:04 PM  1000    931691    0.00    0.00    0.00    0.00    0.00     3  code
03:06:04 PM  1000    931704    0.00    0.00    0.00    0.00    0.00     3  chrome_crashpad
03:06:04 PM  1000    931717    0.18    0.08    0.00    0.00    0.26     3  code
03:06:04 PM  1000    931726    0.00    0.00    0.00    0.00    0.00     2  code
03:06:04 PM  1000    931741    0.22    0.05    0.00    0.01    0.27     1  code
03:06:04 PM  1000    931785    0.00    0.00    0.00    0.00    0.01     1  code
03:06:04 PM  1000    931803    0.01    0.01    0.00    0.00    0.02     3  code
03:06:04 PM  1000    931804    0.00    0.00    0.00    0.00    0.00     3  code
03:06:04 PM  1000    931805    0.03    0.01    0.00    0.00    0.04     2  code
03:06:04 PM  1000    931856    0.00    0.00    0.00    0.00    0.00     2  bash
03:06:04 PM  1000    931893    0.02    0.00    0.00    0.00    0.02     1  cpptools
03:06:04 PM  1000    931938    0.00    0.00    0.00    0.00    0.00     0  code
03:06:04 PM  1000    931952    0.00    0.00    0.00    0.00    0.00     2  TabNine
03:06:04 PM  1000    932003    0.01    0.01    0.00    0.00    0.02     3  TabNine
03:06:04 PM  1000    932025    0.00    0.00    0.00    0.00    0.00     2  code
03:06:04 PM  1000    932027    0.00    0.00    0.00    0.00    0.00     2  code
03:06:04 PM  1000    938337    0.01    0.00    0.00    0.00    0.01     3  brave
03:06:04 PM  1000    938419    0.00    0.00    0.00    0.00    0.01     3  brave
03:06:04 PM  1000    939398    0.00    0.00    0.00    0.00    0.00     1  python3
03:06:04 PM  1000    950384    0.00    0.00    0.00    0.00    0.00     1  code
03:06:04 PM  1000    951357    0.01    0.01    0.00    0.00    0.02     1  Discord
03:06:04 PM  1000    951518    0.00    0.00    0.00    0.00    0.00     0  Discord
03:06:04 PM  1000    951519    0.00    0.00    0.00    0.00    0.00     2  Discord
03:06:04 PM  1000    951531    0.00    0.00    0.00    0.00    0.00     3  chrome_crashpad
03:06:04 PM  1000    951564    0.02    0.01    0.00    0.00    0.03     1  Discord
03:06:04 PM  1000    951569    0.00    0.00    0.00    0.00    0.00     3  Discord
03:06:04 PM  1000    951645    0.10    0.07    0.00    0.00    0.17     2  Discord
03:06:04 PM  1000    951674    0.00    0.00    0.00    0.00    0.00     2  Discord
03:06:04 PM  1000    952230    0.00    0.00    0.00    0.00    0.00     2  bash
03:06:04 PM  1000    961620    0.00    0.00    0.00    0.00    0.00     0  brave
03:06:04 PM  1000    963304    0.00    0.00    0.00    0.00    0.00     1  bash
03:06:04 PM    33    964003    0.00    0.00    0.00    0.00    0.00     3  apache2
03:06:04 PM    33    964004    0.00    0.00    0.00    0.00    0.00     2  apache2
03:06:04 PM     0    964059    0.00    0.00    0.00    0.00    0.00     2  cupsd
03:06:04 PM     0    964060    0.00    0.00    0.00    0.00    0.00     1  cups-browsed
03:06:04 PM     7    964065    0.00    0.00    0.00    0.00    0.00     0  dbus
03:06:04 PM     7    964066    0.00    0.00    0.00    0.00    0.00     0  dbus
03:06:04 PM     0    981695    0.00    0.00    0.00    0.00    0.00     3  kworker/3:2-events
03:06:04 PM  1000    983293    0.00    0.00    0.00    0.00    0.00     0  brave
03:06:04 PM     0    984448    0.00    0.00    0.00    0.00    0.00     2  dockerd
03:06:04 PM  1000    985302    0.00    0.00    0.00    0.00    0.00     3  brave
03:06:04 PM  1000    986776    0.00    0.00    0.00    0.00    0.00     2  brave
03:06:04 PM  1000    986805    0.00    0.00    0.00    0.00    0.00     0  gnome-terminal-
03:06:04 PM  1000    986828    0.00    0.00    0.00    0.00    0.00     0  bash
03:06:04 PM  1000    987595    0.00    0.00    0.00    0.00    0.00     1  cpptools-srv
03:06:04 PM  1000    987620    0.00    0.00    0.00    0.00    0.00     3  cpptools-srv
03:06:04 PM     0    987919    0.00    0.00    0.00    0.00    0.00     2  kworker/2:3-cgroup_destroy
03:06:04 PM     0    987947    0.00    0.00    0.00    0.00    0.00     0  kworker/0:1-events
03:06:04 PM     0    988157    0.00    0.00    0.00    0.00    0.00     3  kworker/u8:3+phy1
03:06:04 PM  1000    988425    0.00    0.00    0.00    0.00    0.00     3  brave
03:06:04 PM     0    989215    0.00    0.00    0.00    0.00    0.00     3  kworker/u8:0-events_unbound
03:06:04 PM     0    989343    0.00    0.00    0.00    0.00    0.00     1  kworker/1:2-events
03:06:04 PM     0    990400    0.00    0.00    0.00    0.00    0.00     3  kworker/u8:2-phy1
03:06:04 PM     0    990681    0.00    0.00    0.00    0.00    0.00     2  kworker/2:0-events
03:06:04 PM     0    990866    0.00    0.00    0.00    0.00    0.00     3  kworker/3:1-events
03:06:04 PM     0    990882    0.00    0.00    0.00    0.00    0.00     2  kworker/u8:4-phy1
03:06:04 PM  1000    991264    0.00    0.00    0.00    0.00    0.00     0  cpptools-srv
03:06:04 PM  1000    991566    0.00    0.00    0.00    0.00    0.00     0  WD-TabNine
03:06:04 PM  1000    991939    0.00    0.00    0.00    0.00    0.00     0  brave
03:06:04 PM  1000    991972    0.00    0.00    0.00    0.00    0.00     1  brave
03:06:04 PM  1000    992009    0.00    0.00    0.00    0.00    0.00     0  OpenDebugAD7
03:06:04 PM  1000    992027    0.00    0.00    0.00    0.00    0.00     2  gdb
03:06:04 PM  1000    992035    0.00    0.00    0.00    0.00    0.00     1  code
03:06:04 PM  1000    992080    0.00    0.00    0.00    0.00    0.00     0  pidstat
